ProviderId,reference,price
292,BME4002ORL,187499.0
292,BME4028ORL,143899.0
292,TAP0023MSM,204999.0
292,BME4016ORL,164999.0
292,TEN0001LUX,38899.0
292,CAR0001LUX,109999.0
292,BAN0000LUX,19999.0
292,TEN0002LUX,56699.0
292,CON0006SML,142899.0
292,TAP0015MSM,155199.0
292,EST0000SEV,52899.0
292,FRE0110SML,292099.0
292,FRE0050SML,75999.0
292,SET0000DAE,41599.0
292,SET0003HAM,50499.0
292,SET0012HAM,84499.0
292,TAL0110HAM,214999.0
292,COC2010ENO,168699.0
292,CAL0140SNL,436999.0
292,ANA5701ECK,22199.0
292,TAP0016MSM,155199.0
292,PLA9100LIL,45099.0
292,FRE0954LIL,246999.0
292,FRE6666MAV,93299.0
292,TAP0020MSM,204999.0
292,PAR0069LGL,710699.0
292,AUR1112SNY,123099.0
292,KIT1401XIA,399999.0
292,CON0000SML,78599.0
292,AIR5350MDA,1147499.0
292,FRE5120DAE,87499.0
292,LAV0824BGH,833099.0
292,BOM0055HAM,199999.0
292,SOP0003HAM,159099.0
292,COM0002HAM,429999.0
292,COM0003HAM,857099.0
292,PIS0005HAM,172499.0
292,VEN0018SEV,119599.0
292,SET0090HAM,408599.0
292,SIE0001HAM,699999.0
292,AMO0001HAM,74599.0
292,COR8875ATM,34999.0
292,COM0112HAM,91199.0
292,ESC0440HAM,362599.0
292,LLA0113HAM,470899.0
292,MCA0043LGL,299999.0
292,PAR0065LGL,190599.0
292,TOR0001HAM,88299.0
292,LUS0001HAM,239699.0
292,PLA2184REV,43499.0
292,VEN0021SEV,103099.0
292,MOC0028HAM,182699.0
292,VEN0003SEV,108799.0
292,ANA6629FLO,229999.0
292,BME4054ORL,65199.0
292,TAL2021ADV,460399.0
292,TAL2020ADV,353199.0
292,HEL5541PHI,2622099.0
292,AIR3200FED,662699.0
292,AIR2650TCL,710399.0
292,FRE3590ATM,122599.0
292,EXT4217DAE,118199.0
292,SEC2090GAM,396799.0
292,SAB0002CBA,32499.0
292,SAB0007CBA,30599.0
292,VEN0020SEV,84299.0
292,VEN0017SEV,170699.0
292,SAB0011CBA,45099.0
292,SAB0014CBA,45099.0
292,CUB0006CBA,33499.0
292,MED0040HAM,67399.0
292,NIV0100HAM,107499.0
292,SOP6010AVO,59199.0
292,PLA6969GAM,69699.0
292,TEL6583LGL,1357699.0
292,TEL5537PHI,739999.0
292,ACO0005FPH,41199.0
292,ACO0009FPH,27899.0
292,TEL4310PHI,449999.0
292,LIC1010SML,69399.0
292,MCA0130SNY,899399.0
292,SAB0014FPH,70499.0
292,DEP0010GAM,83899.0
292,CAL2024ATM,101699.0
292,PAV9396PHI,94899.0
292,KIT0017MOT,305199.0
292,CON0000PBD,198199.0
292,PLA1000ETX,73499.0
292,PRO5000ETX,130599.0
292,KIT0015MOT,305199.0
292,SAN2330PHI,48599.0
292,BOT0157STA,103399.0
292,KIT6057ZTE,179899.0
292,NIV0200HAM,217799.0
292,BAS0300HAM,77799.0
292,CLI1011PLO,191299.0
292,LLA1113HAM,293599.0
292,AMO2400ADV,267199.0
292,LUS1400ADV,265999.0
292,PIS0020ADV,143099.0
292,PIS0200ADV,64599.0
292,PIS2000ADV,46999.0
292,KIT1666SSG,669999.0
292,SET9073WOR,82799.0
292,LAV8022PLO,544999.0
292,TOS9000ATM,100699.0
292,HAC4012WOR,25999.0
292,HER4061WOR,24199.0
292,PIN4005WOR,67199.0
292,SET0316WOR,86599.0
292,SET1009WOR,39199.0
292,CON2024PBD,129999.0
292,MAT0002STA,61099.0
292,ALM7023NTV,30999.0
292,KIT1766SSG,699999.0
292,PLA3545ORL,136499.0
292,PAV0175LIL,49299.0
292,IMP3210EPS,444899.0
292,CAS0034SLP,22299.0
292,AFE6306PHI,30299.0
292,SEC5740GAM,63299.0
292,VEN3042AUV,425499.0
292,PMI0636DEL,108999.0
292,HOR7857FLO,489199.0
292,BIB1406ORL,147299.0
292,BIB1409ORL,139899.0
292,BIB1421ORL,133199.0
292,BIB1434ORL,88699.0
292,BIB1440ORL,118699.0
292,FEE3350INE,706599.0
292,INF1216KAB,8299.0
292,MOD8612DEL,335199.0
292,DES0638DEL,145499.0
292,LAV7760GAF,559999.0
292,CHO4195TAU,1210199.0
292,MUL0711ORL,121899.0
